shaunaSHELLEY	1 more episode and then I'm caught up on the walking dead 👌
paynessly	RT @rtsejaassistiu: orange is the new black
CaseyyyyJane	Lmfao the fly episode from breaking bad is so great
hoevnchy	RT @tvshowsbloopers: orange is the new black http://twitter.com/tvshowsbloopers/status/678078437962211328/video/1
julietacifuents	Dosis de the walking dead 😙
imfreakinglost	RT @rtsejaassistiu: orange is the new black
___Rennnn	' narcos is so good 😭👌🏾
breakingbad_bot	breakingbad_bot: LureOG: Monzohs start up breaking bad
Gigglezzz86	Is it weird that I can't sleep without watching the walking dead??
Avaldivia10	If y'all watch the walking dead y'all know Carol is the one she that always saves every situation
ceballoslucy15	RT @ughgisselle: I fwu if you watch prison break
nmaestas	@JeffGoins Jessica jones has been ok. Just really slow going. Heard narcos was good.
